Timestamp,pH,Turbidity_NTU,TDS_ppm,Temperature_C,Flow_Rate_Lmin,Water_Quality_Index
2024-01-16 14:15:00,7.1,1.6,154.0,24.7,5.6,89.0
2024-01-16 14:30:00,7.1,1.6,153.0,23.8,6.5,89.0
2024-01-16 14:45:00,7.1,1.7,149.0,23.9,6.5,89.0
2024-01-16 15:00:00,7.0,1.7,145.0,23.5,6.1,90.0
2024-01-16 15:15:00,7.1,1.6,155.0,23.8,7.3,90.0
2024-01-16 15:30:00,7.0,1.5,153.0,23.4,5.9,90.0
2024-01-16 15:45:00,7.0,1.5,154.0,23.5,7.9,90.0
2024-01-16 16:00:00,6.9,1.6,146.0,23.7,5.9,90.0
2024-01-16 16:15:00,7.0,1.7,150.0,23.5,5.6,90.0
2024-01-16 16:30:00,6.9,1.6,153.0,23.3,8.0,90.0
2024-01-16 16:45:00,7.0,1.8,148.0,23.1,6.6,89.0
2024-01-16 17:00:00,6.9,1.7,151.0,23.2,9.4,89.0
2024-01-16 17:15:00,6.9,1.7,154.0,23.9,8.7,89.0
2024-01-16 17:30:00,7.0,1.6,163.0,23.4,9.2,89.0
2024-01-16 17:45:00,7.0,1.7,154.0,23.5,9.9,89.0
2024-01-16 18:00:00,6.9,1.9,156.0,23.5,11.3,88.0
2024-01-16 18:15:00,7.0,1.8,160.0,23.8,8.2,89.0
2024-01-16 18:30:00,6.9,1.9,157.0,24.0,10.5,88.0
2024-01-16 18:45:00,7.0,1.9,156.0,23.6,10.0,88.0
2024-01-16 19:00:00,6.9,1.8,159.0,23.3,4.7,88.0
2024-01-16 19:15:00,6.9,1.6,158.0,23.5,5.9,89.0
2024-01-16 19:30:00,7.0,1.6,155.0,23.3,5.0,90.0
2024-01-16 19:45:00,7.0,1.6,155.0,23.4,5.9,90.0
2024-01-16 20:00:00,7.0,1.3,145.0,23.0,3.8,92.0
2024-01-16 20:15:00,7.0,1.4,147.0,22.4,4.4,92.0
2024-01-16 20:30:00,7.1,1.3,147.0,22.6,4.6,91.0
2024-01-16 20:45:00,7.0,1.3,146.0,22.5,4.1,92.0
2024-01-16 21:00:00,7.0,1.2,136.0,22.7,2.8,93.0
2024-01-16 21:15:00,7.1,1.1,144.0,22.9,3.8,93.0
2024-01-16 21:30:00,7.0,1.1,137.0,22.4,3.7,93.0
2024-01-16 21:45:00,7.1,1.1,139.0,22.0,3.0,93.0
2024-01-16 22:00:00,7.1,0.8,139.0,22.4,1.2,94.0
2024-01-16 22:15:00,7.2,0.9,139.0,22.1,1.0,93.0
2024-01-16 22:30:00,7.1,0.8,140.0,22.0,1.0,94.0
2024-01-16 22:45:00,7.1,0.8,137.0,22.1,1.0,94.0
2024-01-16 23:00:00,7.1,0.8,140.0,22.1,1.1,94.0
2024-01-16 23:15:00,7.2,0.6,142.0,22.0,0.4,94.0
2024-01-16 23:30:00,7.1,0.8,131.0,22.2,0.7,95.0
2024-01-16 23:45:00,7.2,0.6,124.0,21.6,0.9,95.0
2024-01-17 00:00:00,7.2,0.7,133.0,21.9,0.3,94.0
2024-01-17 00:15:00,7.2,0.6,128.0,22.4,0.7,95.0
2024-01-17 00:30:00,7.2,0.6,131.0,22.0,0.3,95.0
2024-01-17 00:45:00,7.2,0.8,134.0,21.9,0.4,93.0
2024-01-17 01:00:00,7.3,0.5,139.0,22.2,0.3,94.0
2024-01-17 01:15:00,7.3,0.7,129.0,22.5,0.5,93.0
2024-01-17 01:30:00,7.3,0.8,130.0,22.3,0.1,93.0
2024-01-17 01:45:00,7.3,0.6,140.0,22.7,0.5,94.0
2024-01-17 02:00:00,7.3,0.6,129.0,22.4,0.5,94.0
2024-01-17 02:15:00,7.3,0.5,138.0,22.1,0.1,94.0
2024-01-17 02:30:00,7.3,0.8,131.0,22.9,0.1,93.0
2024-01-17 02:45:00,7.3,0.7,137.0,22.4,0.5,93.0
2024-01-17 03:00:00,7.4,0.5,125.0,22.6,0.4,94.0
2024-01-17 03:15:00,7.5,0.7,124.0,22.6,0.1,93.0
2024-01-17 03:30:00,7.5,0.5,136.0,22.5,0.1,93.0
2024-01-17 03:45:00,7.4,0.6,126.0,23.0,0.1,94.0
2024-01-17 04:00:00,7.5,0.5,128.0,22.9,0.5,94.0
2024-01-17 04:15:00,7.5,0.6,133.0,23.1,0.4,93.0
2024-01-17 04:30:00,7.4,0.5,131.0,22.7,0.2,94.0
2024-01-17 04:45:00,7.4,0.6,123.0,23.1,0.6,94.0
2024-01-17 05:00:00,7.3,0.9,128.0,23.0,0.1,92.0
2024-01-17 05:15:00,7.5,0.5,139.0,22.9,0.5,93.0
2024-01-17 05:30:00,7.5,0.8,135.0,23.1,0.3,92.0
2024-01-17 05:45:00,7.5,0.7,136.0,23.2,0.2,92.0
2024-01-17 06:00:00,7.3,0.8,141.0,23.3,2.2,92.0
2024-01-17 06:15:00,7.4,0.9,146.0,24.1,2.3,91.0
2024-01-17 06:30:00,7.3,1.2,152.0,24.0,2.7,90.0
2024-01-17 06:45:00,7.2,1.0,142.0,24.5,1.3,92.0
2024-01-17 07:00:00,7.1,1.3,147.0,24.2,3.6,91.0
2024-01-17 07:15:00,7.1,1.4,164.0,24.9,3.9,89.0
2024-01-17 07:30:00,7.1,1.6,153.0,24.4,4.1,89.0
2024-01-17 07:45:00,7.0,1.9,161.0,25.1,4.0,88.0
2024-01-17 08:00:00,7.1,2.0,162.0,25.4,5.9,87.0
2024-01-17 08:15:00,7.0,1.9,160.0,25.4,5.2,88.0
2024-01-17 08:30:00,7.1,2.2,163.0,25.1,4.9,86.0
2024-01-17 08:45:00,7.0,2.2,162.0,25.5,5.6,87.0
2024-01-17 09:00:00,7.1,2.2,167.0,25.7,5.8,86.0
2024-01-17 09:15:00,7.0,2.3,170.0,25.6,5.6,86.0
2024-01-17 09:30:00,7.1,2.3,170.0,26.0,6.0,85.0
2024-01-17 09:45:00,7.0,2.3,176.0,25.6,4.9,85.0
2024-01-17 10:00:00,7.1,2.3,174.0,25.5,5.8,85.0
2024-01-17 10:15:00,7.0,2.3,170.0,25.8,4.8,85.0
2024-01-17 10:30:00,7.1,2.1,171.0,25.4,4.8,86.0
2024-01-17 10:45:00,7.0,2.5,168.0,25.5,5.6,85.0
2024-01-17 11:00:00,6.9,2.2,168.0,25.2,4.6,86.0
2024-01-17 11:15:00,7.0,2.4,165.0,25.4,6.6,85.0
2024-01-17 11:30:00,6.9,2.3,175.0,25.8,5.5,85.0
2024-01-17 11:45:00,7.1,2.4,171.0,25.2,4.0,85.0
2024-01-17 12:00:00,6.9,2.6,182.0,25.4,9.3,83.0
2024-01-17 12:15:00,6.8,2.9,181.0,26.4,12.0,81.0
2024-01-17 12:30:00,6.8,3.3,184.0,26.5,10.7,79.0
2024-01-17 12:45:00,6.9,3.4,185.0,26.3,11.7,79.0
2024-01-17 13:00:00,7.0,3.5,195.0,26.7,10.0,79.0
2024-01-17 13:15:00,6.8,3.8,195.0,27.2,12.2,76.0
2024-01-17 13:30:00,6.8,4.1,196.0,27.1,12.0,75.0
2024-01-17 13:45:00,6.7,4.1,199.0,27.5,11.6,75.0
2024-01-17 14:00:00,7.0,3.6,190.0,26.5,4.8,79.0
2024-01-17 14:15:00,6.9,3.3,187.0,25.8,5.6,80.0
2024-01-17 14:30:00,6.8,3.2,175.0,25.7,8.0,80.0
2024-01-17 14:45:00,6.8,3.3,188.0,25.2,6.0,80.0
2024-01-17 15:00:00,6.9,2.9,179.0,24.6,5.3,82.0
2024-01-17 15:15:00,6.9,2.8,178.0,24.6,5.5,83.0
2024-01-17 15:30:00,7.0,3.0,173.0,24.3,5.9,83.0
2024-01-17 15:45:00,7.0,2.5,169.0,24.3,5.8,85.0
2024-01-17 16:00:00,6.9,2.7,176.0,24.2,7.5,84.0
2024-01-17 16:15:00,6.9,2.5,177.0,24.0,5.6,84.0
2024-01-17 16:30:00,6.8,2.8,170.0,23.9,5.6,83.0
2024-01-17 16:45:00,6.9,2.5,169.0,24.2,6.4,85.0
2024-01-17 17:00:00,7.0,2.9,176.0,24.4,11.5,83.0
2024-01-17 17:15:00,6.9,3.4,187.0,25.1,10.9,80.0
2024-01-17 17:30:00,6.8,3.3,187.0,25.2,8.2,79.0
2024-01-17 17:45:00,6.9,3.2,187.0,24.4,8.1,80.0
2024-01-17 18:00:00,6.9,3.5,186.0,24.8,9.5,79.0
2024-01-17 18:15:00,6.8,3.7,188.0,24.8,11.4,78.0
2024-01-17 18:30:00,6.9,3.4,193.0,25.4,8.7,79.0
2024-01-17 18:45:00,6.8,3.7,198.0,25.5,11.9,77.0
2024-01-17 19:00:00,6.9,3.5,185.0,25.0,5.5,79.0
2024-01-17 19:15:00,6.9,3.0,176.0,24.9,4.6,82.0
2024-01-17 19:30:00,6.9,2.9,182.0,24.1,5.6,82.0
2024-01-17 19:45:00,7.0,2.8,181.0,23.9,6.1,83.0
2024-01-17 20:00:00,7.0,2.8,173.0,23.9,4.8,84.0
2024-01-17 20:15:00,7.0,2.6,172.0,23.5,5.1,84.0
2024-01-17 20:30:00,7.0,2.6,182.0,23.7,3.8,84.0
2024-01-17 20:45:00,7.0,2.5,173.0,23.6,4.5,85.0
2024-01-17 21:00:00,7.0,2.2,171.0,22.8,3.1,87.0
2024-01-17 21:15:00,7.0,2.3,167.0,22.6,2.9,87.0
2024-01-17 21:30:00,7.1,2.1,159.0,22.5,2.9,87.0
2024-01-17 21:45:00,7.0,2.2,163.0,22.8,4.0,87.0
2024-01-17 22:00:00,7.2,1.7,165.0,22.4,1.1,88.0
2024-01-17 22:15:00,7.0,1.5,159.0,22.7,1.6,90.0
2024-01-17 22:30:00,7.2,1.6,154.0,22.4,1.1,89.0
2024-01-17 22:45:00,7.2,1.3,153.0,22.2,1.0,90.0
2024-01-17 23:00:00,7.0,1.4,152.0,21.9,1.1,91.0
2024-01-17 23:15:00,7.1,1.4,155.0,21.8,1.3,90.0
2024-01-17 23:30:00,7.1,1.3,157.0,22.1,1.5,91.0
2024-01-17 23:45:00,7.0,1.2,147.0,22.2,0.7,92.0
2024-01-18 00:00:00,7.2,1.1,149.0,22.2,0.2,91.0
2024-01-18 00:15:00,7.2,1.1,157.0,22.6,0.2,91.0
2024-01-18 00:30:00,7.2,0.9,151.0,22.0,0.5,93.0
2024-01-18 00:45:00,7.2,1.0,147.0,21.9,0.0,92.0
2024-01-18 01:00:00,7.1,0.9,147.0,22.7,0.3,93.0
2024-01-18 01:15:00,7.2,0.7,151.0,22.5,0.1,94.0
2024-01-18 01:30:00,7.2,0.9,150.0,22.4,0.2,92.0
2024-01-18 01:45:00,7.1,1.0,142.0,22.5,0.0,93.0
2024-01-18 02:00:00,7.2,1.0,144.0,22.5,0.2,93.0
2024-01-18 02:15:00,7.2,0.9,151.0,22.4,0.3,93.0
2024-01-18 02:30:00,7.2,0.9,148.0,23.2,0.4,92.0
2024-01-18 02:45:00,7.1,1.0,150.0,22.2,0.1,93.0
2024-01-18 03:00:00,7.1,0.9,152.0,22.9,0.2,92.0
2024-01-18 03:15:00,7.2,0.8,144.0,22.9,0.2,93.0
2024-01-18 03:30:00,7.1,0.9,146.0,23.2,0.5,93.0
2024-01-18 03:45:00,7.2,1.0,147.0,23.1,1.2,92.0
2024-01-18 04:00:00,7.2,1.0,152.0,23.0,0.0,92.0
2024-01-18 04:15:00,7.2,1.1,151.0,23.2,0.8,91.0
2024-01-18 04:30:00,7.1,0.9,151.0,23.5,0.7,93.0
2024-01-18 04:45:00,7.2,0.9,145.0,23.1,0.6,93.0
2024-01-18 05:00:00,7.1,0.9,148.0,23.5,0.5,92.0
2024-01-18 05:15:00,7.2,0.8,149.0,23.4,0.6,93.0
2024-01-18 05:30:00,7.2,0.9,154.0,23.6,0.0,92.0
2024-01-18 05:45:00,7.2,0.9,152.0,23.3,0.7,92.0
2024-01-18 06:00:00,7.2,1.2,149.0,23.3,2.1,91.0
2024-01-18 06:15:00,7.2,1.2,153.0,23.9,1.7,90.0
2024-01-18 06:30:00,7.1,0.9,154.0,24.4,1.3,92.0
2024-01-18 06:45:00,7.2,1.3,153.0,24.0,2.8,90.0
2024-01-18 07:00:00,7.2,1.3,154.0,24.7,3.9,90.0
2024-01-18 07:15:00,7.1,1.6,166.0,24.5,3.8,88.0
2024-01-18 07:30:00,7.2,1.5,162.0,25.0,2.7,89.0
2024-01-18 07:45:00,7.1,1.8,168.0,25.0,4.1,87.0
2024-01-18 08:00:00,7.1,2.0,164.0,25.2,5.1,87.0
2024-01-18 08:15:00,7.0,2.0,165.0,25.5,4.5,87.0
2024-01-18 08:30:00,7.0,2.1,169.0,25.3,5.1,87.0
2024-01-18 08:45:00,7.0,2.1,174.0,25.4,4.6,86.0
2024-01-18 09:00:00,6.9,2.0,160.0,25.6,4.3,87.0
2024-01-18 09:15:00,7.0,2.2,173.0,25.3,4.1,86.0
2024-01-18 09:30:00,7.0,2.2,166.0,25.6,6.5,86.0
2024-01-18 09:45:00,7.1,2.3,170.0,25.5,4.6,85.0
2024-01-18 10:00:00,6.9,2.2,175.0,25.4,5.8,86.0
2024-01-18 10:15:00,7.0,2.5,175.0,25.9,5.5,85.0
2024-01-18 10:30:00,6.9,2.3,169.0,24.8,4.8,86.0
2024-01-18 10:45:00,7.0,2.3,177.0,25.3,5.9,85.0
2024-01-18 11:00:00,7.0,2.0,169.0,24.8,4.9,87.0
2024-01-18 11:15:00,6.9,2.3,164.0,25.1,4.7,86.0
2024-01-18 11:30:00,7.0,2.7,173.0,25.2,6.2,84.0
2024-01-18 11:45:00,7.0,2.4,169.0,25.5,5.9,85.0
2024-01-18 12:00:00,6.9,2.7,173.0,25.3,10.7,83.0
2024-01-18 12:15:00,6.9,3.0,188.0,26.2,11.6,81.0
2024-01-18 12:30:00,6.9,3.2,184.0,26.5,9.1,80.0
2024-01-18 12:45:00,6.7,3.4,184.0,26.5,9.9,78.0
2024-01-18 13:00:00,6.9,3.4,193.0,26.6,8.7,79.0
2024-01-18 13:15:00,6.8,3.4,188.0,26.4,8.1,78.0
2024-01-18 13:30:00,6.8,3.5,184.0,26.3,12.3,79.0
2024-01-18 13:45:00,6.8,3.5,186.0,26.6,8.0,78.0
2024-01-18 14:00:00,6.9,3.4,195.0,25.7,6.7,79.0
2024-01-18 14:15:00,6.8,3.4,185.0,25.7,7.4,79.0
2024-01-18 14:30:00,6.8,3.1,178.0,25.8,8.1,80.0
2024-01-18 14:45:00,6.9,3.0,183.0,25.1,7.0,82.0
2024-01-18 15:00:00,6.8,3.1,184.0,25.2,7.3,81.0
2024-01-18 15:15:00,7.0,2.7,178.0,25.0,5.6,83.0
2024-01-18 15:30:00,7.0,2.8,179.0,24.3,6.1,83.0
2024-01-18 15:45:00,6.9,2.9,180.0,24.6,7.8,82.0
2024-01-18 16:00:00,6.8,2.8,178.0,24.4,5.5,82.0
2024-01-18 16:15:00,7.0,2.9,181.0,24.0,7.2,83.0
2024-01-18 16:30:00,6.9,2.7,185.0,24.3,6.6,83.0
2024-01-18 16:45:00,7.0,2.7,176.0,24.1,5.8,84.0
2024-01-18 17:00:00,6.9,3.0,185.0,23.9,9.0,82.0
2024-01-18 17:15:00,6.8,2.9,184.0,25.0,11.0,81.0
2024-01-18 17:30:00,6.8,3.2,188.0,24.9,10.1,80.0
2024-01-18 17:45:00,6.8,3.7,194.0,25.6,11.9,78.0
2024-01-18 18:00:00,6.8,3.6,188.0,25.4,8.5,78.0
2024-01-18 18:15:00,6.7,3.9,194.0,25.1,12.2,76.0
2024-01-18 18:30:00,6.9,3.6,195.0,24.8,9.8,78.0
2024-01-18 18:45:00,6.8,3.8,197.0,25.7,11.6,76.0
2024-01-18 19:00:00,6.9,3.5,189.0,25.3,5.9,79.0
2024-01-18 19:15:00,6.9,3.3,184.0,24.9,6.1,80.0
2024-01-18 19:30:00,6.9,3.0,187.0,24.2,5.3,82.0
2024-01-18 19:45:00,6.9,3.1,183.0,24.3,6.1,81.0
2024-01-18 20:00:00,7.0,2.7,180.0,24.1,4.8,84.0
2024-01-18 20:15:00,7.0,2.6,171.0,23.6,4.2,85.0
2024-01-18 20:30:00,7.0,2.4,173.0,23.4,4.1,86.0
2024-01-18 20:45:00,7.0,2.3,167.0,23.4,4.2,86.0
2024-01-18 21:00:00,7.0,2.1,163.0,22.8,2.8,88.0
2024-01-18 21:15:00,7.0,2.2,166.0,22.9,3.4,87.0
2024-01-18 21:30:00,7.0,2.0,158.0,23.1,2.6,88.0
2024-01-18 21:45:00,7.1,1.6,165.0,23.3,4.1,89.0
2024-01-18 22:00:00,7.0,1.8,164.0,22.7,0.8,89.0
2024-01-18 22:15:00,7.2,1.6,156.0,22.3,0.7,89.0
2024-01-18 22:30:00,7.1,1.3,154.0,22.2,1.2,91.0
2024-01-18 22:45:00,7.1,1.5,151.0,21.9,0.7,91.0
2024-01-18 23:00:00,7.2,1.2,157.0,21.9,0.9,91.0
2024-01-18 23:15:00,7.2,1.3,152.0,22.2,1.3,90.0
2024-01-18 23:30:00,7.2,1.1,154.0,21.9,1.1,91.0
2024-01-18 23:45:00,7.1,1.2,153.0,22.0,1.2,91.0
2024-01-19 00:00:00,7.1,1.2,153.0,22.1,0.0,92.0
2024-01-19 00:15:00,7.2,1.0,145.0,22.0,0.3,92.0
2024-01-19 00:30:00,7.2,1.0,148.0,22.3,0.3,92.0
2024-01-19 00:45:00,7.3,1.1,144.0,21.8,0.7,91.0
2024-01-19 01:00:00,7.3,1.1,152.0,21.9,0.6,91.0
2024-01-19 01:15:00,7.1,0.9,150.0,22.2,0.2,93.0
2024-01-19 01:30:00,7.1,1.0,141.0,22.1,0.2,93.0
2024-01-19 01:45:00,7.0,1.2,150.0,22.4,0.3,92.0
2024-01-19 02:00:00,7.3,1.0,151.0,22.4,0.5,91.0
2024-01-19 02:15:00,7.3,1.0,150.0,22.6,0.3,91.0
2024-01-19 02:30:00,7.2,0.8,138.0,22.8,0.5,93.0
2024-01-19 02:45:00,7.1,0.9,148.0,22.7,0.9,93.0
2024-01-19 03:00:00,7.2,0.9,144.0,22.7,0.7,93.0
2024-01-19 03:15:00,7.2,0.9,148.0,22.7,0.2,93.0
2024-01-19 03:30:00,7.2,0.8,148.0,23.4,0.3,93.0
